CO_CATEGAD_PRIVADA,CO_GRUPO,QTD_ALUNOS,NT_GER_mean,NT_FG_mean,NT_CE_mean,QE_I58_mean,QE_I28_mean,QE_I39_mean,QE_I49_mean,QE_I57_mean,QE_I40_mean,QE_I29_mean,QE_I30_mean,QE_I32_mean,QE_I36_mean,QE_I37_mean,QE_I56_mean,QE_I38_mean,QE_I61_mean,QE_I62_mean,QE_I63_mean,QE_I64_mean,QE_I65_mean,NT_GER_minimum,NT_FG_minimum,NT_CE_minimum,QE_I58_minimum,QE_I28_minimum,QE_I39_minimum,QE_I49_minimum,QE_I57_minimum,QE_I40_minimum,QE_I29_minimum,QE_I30_minimum,QE_I32_minimum,QE_I36_minimum,QE_I37_minimum,QE_I56_minimum,QE_I38_minimum,QE_I61_minimum,QE_I62_minimum,QE_I63_minimum,QE_I64_minimum,QE_I65_minimum,NT_GER_median,NT_FG_median,NT_CE_median,QE_I58_median,QE_I28_median,QE_I39_median,QE_I49_median,QE_I57_median,QE_I40_median,QE_I29_median,QE_I30_median,QE_I32_median,QE_I36_median,QE_I37_median,QE_I56_median,QE_I38_median,QE_I61_median,QE_I62_median,QE_I63_median,QE_I64_median,QE_I65_median,NT_GER_std,NT_FG_std,NT_CE_std,QE_I58_std,QE_I28_std,QE_I39_std,QE_I49_std,QE_I57_std,QE_I40_std,QE_I29_std,QE_I30_std,QE_I32_std,QE_I36_std,QE_I37_std,QE_I56_std,QE_I38_std,QE_I61_std,QE_I62_std,QE_I63_std,QE_I64_std,QE_I65_std,NT_GER_maximum,NT_FG_maximum,NT_CE_maximum,QE_I58_maximum,QE_I28_maximum,QE_I39_maximum,QE_I49_maximum,QE_I57_maximum,QE_I40_maximum,QE_I29_maximum,QE_I30_maximum,QE_I32_maximum,QE_I36_maximum,QE_I37_maximum,QE_I56_maximum,QE_I38_maximum,QE_I61_maximum,QE_I62_maximum,QE_I63_maximum,QE_I64_maximum,QE_I65_maximum,NT_GER_q25,NT_FG_q25,NT_CE_q25,QE_I58_q25,QE_I28_q25,QE_I39_q25,QE_I49_q25,QE_I57_q25,QE_I40_q25,QE_I29_q25,QE_I30_q25,QE_I32_q25,QE_I36_q25,QE_I37_q25,QE_I56_q25,QE_I38_q25,QE_I61_q25,QE_I62_q25,QE_I63_q25,QE_I64_q25,QE_I65_q25,NT_GER_q75,NT_FG_q75,NT_CE_q75,QE_I58_q75,QE_I28_q75,QE_I39_q75,QE_I49_q75,QE_I57_q75,QE_I40_q75,QE_I29_q75,QE_I30_q75,QE_I32_q75,QE_I36_q75,QE_I37_q75,QE_I56_q75,QE_I38_q75,QE_I61_q75,QE_I62_q75,QE_I63_q75,QE_I64_q75,QE_I65_q75
0,1,11973,42.92113922993406,49.142687714023424,40.8304518499955,4.876639104652134,4.860435980957154,4.682786269105487,4.699239956568947,4.863693309947382,4.355048859934853,4.641526768562599,4.596926417773323,5.195356218157521,4.9836298337927,4.533199699323478,4.604526852083855,4.580723294078343,4.501211058214316,4.4599515576714275,4.4311367242963335,4.6821180990562095,4.411759792867285,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42.7,49.2,40.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.892257840377027,17.28093431997769,14.941155144244735,1.4151817510026323,1.361055280702519,1.406847551887477,1.4256247299571543,1.314595501766048,1.5320304223054941,1.4438317970451289,1.492904671387083,1.2887515425405478,1.3033404179993402,1.490196640499866,1.4747692782401285,1.408983602650709,1.5742889198127947,1.5997840328868458,1.6102036463103535,1.4995862411027177,1.7441617620944017,85.8,95.2,87.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33.1,36.9,30.3,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,52.7,61.7,51.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,2,13780,46.520805515239395,55.76187227866446,43.42383164005901,4.487373004354136,4.871190130624093,4.7100870827285926,4.8226415094339625,4.825399129172714,4.130043541364296,4.571407837445573,4.461465892597968,4.688606676342525,5.004208998548621,4.419956458635704,4.402322206095791,4.4211175616836,4.472278664731495,4.429608127721335,4.424165457184325,4.1478955007256895,4.20566037735849,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.6,57.5,43.3,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.582517463535847,18.83523007909933,16.457346147850263,1.6034110462667757,1.3955223326316286,1.4498611112287856,1.4163809947252906,1.3504752184091042,1.6770839685247632,1.5324994818984201,1.6040386105738595,1.5217610445453322,1.3513306341415872,1.6016880921256853,1.587872375628275,1.5354923503806803,1.6541092457144737,1.6829537285179774,1.6788743620366962,1.7766373181812292,1.9013549068844429,91.7,98.6,95.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,35.1,42.7,31.3,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,57.9,70.7,55.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,12,8046,61.096408153119405,55.40207556549835,62.97813820531905,5.104151130996769,5.26882923191648,4.91834451901566,5.26485210042257,5.275043499875714,4.273800646283868,4.778523489932886,4.797663435247328,5.493164305244842,5.369624658215262,4.7475764354958985,4.586875466070097,4.591598309719115,4.738503604275416,4.413124533929903,4.548968431518767,4.985955754412131,4.857196122296793,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62.2,56.0,63.9,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.427519562469465,13.836683013287468,11.7880293670854,1.175190044651222,0.9814641572812992,1.2433716040685578,1.0098705018852743,0.9274709984946038,1.564515511304772,1.3303984673478788,1.3585626554646275,0.9320696136406701,0.9750610738608328,1.3498303528281836,1.4299805963043688,1.3532178368893357,1.3893768845093875,1.5521902186045815,1.4819488302101644,1.2969061526213854,1.870543582301779,90.1,97.8,97.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,55.6,46.9,56.324999999999996,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,68.1,64.6,70.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,2001,17952,45.50650066844921,50.443944964349,43.844173351158425,5.221423796791444,5.335004456327986,5.310494652406417,5.298351158645277,5.290552584670232,4.818181818181818,5.348429144385027,5.339962121212121,5.474877450980392,5.463179590017825,5.109959893048129,4.733288770053476,5.117312834224599,4.439505347593583,4.5,4.557987967914438,4.6604835115864525,4.8395164884135475,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5,51.4,43.5,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.4825081476509,17.30545872131719,15.718642968062609,1.0960968731815575,0.9601636723685791,0.9243969139257556,0.9459821593436144,0.9319344967373518,1.2388108864452951,0.9549946021279502,0.9883791148672026,0.9163276005549076,0.8311139941230233,1.0856306480674072,1.3472590874397392,1.0050548852319254,1.5027930249371877,1.4766109586225007,1.4339220693597783,1.434038855580072,1.8318338131795786,90.1,99.4,93.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,35.4,39.4,32.6,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,55.4,62.8,54.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,4004,2897,48.4982050396962,57.65616154642731,45.42892647566456,5.306178805661029,4.492233344839489,4.577839143942009,4.440110459095616,4.898860890576459,4.035208836727649,4.515015533310321,4.391784604763549,5.003451846738005,5.086641353123921,4.226786330686918,4.839834311356576,4.3237832240248535,4.568519157749396,4.5578184328615805,4.639972385226096,4.718674490852606,4.725232999654815,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48.6,59.8,45.4,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.418021384763748,17.876004516421716,14.931114107625657,1.0391871889114053,1.3443758500487746,1.294470986819933,1.4078336435478211,1.0693117269463466,1.5317100248950137,1.3644556551645404,1.431724763665402,1.2253037566699014,1.1955333856037216,1.5316641119751258,1.2181980965229184,1.3464567959159188,1.3666116488931452,1.425227205461557,1.396460007205144,1.3270090197701951,1.9619380171285348,84.1,96.8,87.9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,39.3,45.6,34.8,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,57.8,70.6,56.1,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
1,1,62380,37.357882334081246,42.19438762423804,35.728941968583136,5.257502404616864,5.2458800897723625,5.105081756973389,5.182462327669125,5.248380891311318,4.9152933632574545,5.145751843539596,5.115790317409426,5.386101314523886,5.28515549855723,5.088441808271882,5.026482847066368,5.121032382173774,5.087463930747035,5.088970823982046,5.0838890670086565,5.21252003847387,5.179368387303623,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36.7,41.6,35.3,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,12.694969527597559,16.09906990176171,13.758762605718132,1.236781785156142,1.1973983563360893,1.2470146725669484,1.2074941781487318,1.1761698851271691,1.3552425536378871,1.2293588204246946,1.263923696518436,1.1494249856567276,1.1350386060097428,1.2679406613224673,1.3595405149478366,1.2156777736287294,1.340831587603427,1.342453132182915,1.339319561663104,1.263447817342437,1.3365399755867071,89.1,96.4,92.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,28.3,30.3,26.1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,46.0,53.2,45.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,2,88715,40.56336358000362,48.20436566533253,37.99982077437956,5.034920813842079,5.2254522910443555,5.152871554979429,5.192977512258356,5.236724341994026,4.794262526066618,5.081767457588908,5.01677281181311,5.081744913487009,5.30360142027842,5.068184636194555,4.933742884517838,5.053497153807135,5.0432734035957845,5.03691596686017,5.060440737192132,4.840196133686525,4.965947134081046,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39.7,48.1,36.9,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.849237743484645,17.418357843723992,14.758060882640729,1.4125060800049576,1.2522798773834958,1.2727482604900195,1.2649013727965939,1.2011332210266856,1.5051702031682965,1.3221228648105925,1.387486719050237,1.367932749057723,1.1892936402505903,1.3410498055501052,1.4585392066686078,1.3094406046028964,1.4182285431459254,1.4382719316223056,1.4159577238582892,1.5575089921133318,1.5557589885001142,92.3,96.4,95.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,30.4,35.9,26.9,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,50.0,60.8,47.8,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,12,11345,57.83620096958964,51.02921110621405,60.08855002203574,5.559982371088585,5.553547818422213,5.444601145879242,5.527809607756721,5.523402379903041,4.962009695901278,5.344909651828999,5.276597620096959,5.690171881886293,5.54050242397532,5.314852357866902,5.233406787130894,5.260026443367122,5.46267078007933,5.311414720141031,5.406081974438078,5.581313353900397,5.491141472014103,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.9,51.6,61.1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.521922352299308,14.078922966011387,11.874260509406959,0.8765190318694835,0.8253583922740522,0.9576464514833745,0.8696555535390222,0.8026334404419447,1.4101756616079284,1.0491856828045658,1.1211848280097698,0.7446301751513081,0.8720931534424531,1.084061481808785,1.1512066256603342,1.0903685435001618,0.9974597971050505,1.1397722269599833,1.0500596205018191,0.8845184691910214,1.2878733426253772,87.1,96.0,91.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,51.9,42.3,53.3,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,65.0,60.6,68.2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,2001,67762,41.433886248930186,46.42826215282969,39.75222100882654,5.497565006936041,5.581107405330421,5.483073108822054,5.50718691892211,5.519155278769812,5.2235176057377295,5.529603612644255,5.5216493019686546,5.5475487736489475,5.586316814733921,5.424618517753313,5.177724978601576,5.44353767598359,5.200082642188837,5.249859803429651,5.262580797497122,5.279360113337859,5.423555975325404,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.6,46.8,38.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,13.911403934679715,16.958447227051504,15.060102613617756,0.9446862965278278,0.7938118805465831,0.8596829008992595,0.8507781366633599,0.867497213391246,1.0943493154330064,0.8362755440994009,0.8694267996916146,0.8997448830862016,0.7541411080359319,0.9668693969812805,1.2422909555020383,0.8927564842185927,1.1937574646061724,1.1666563804772192,1.1389943740901476,1.1253914873641402,1.180038166630911,93.1,98.8,94.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,31.3,34.4,28.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50.8,58.5,49.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1,4004,3919,38.58787956111255,51.66629242153613,34.2116611380454,5.439397805562644,4.988772646083184,5.03062005613677,4.978821127838734,5.18474100535851,4.806328144934932,4.954325082929318,4.846899719316152,5.26180147996938,5.187803010972186,4.985710640469508,5.051543761163562,4.960959428425618,5.0696606277111504,5.039550905843328,5.0512885940290895,5.365144169430978,5.280428680785914,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.0,52.7,32.9,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,11.559709984059172,17.17966583286365,12.565474435986461,0.986814161629206,1.2619521485476577,1.2336036008866094,1.2803978366566755,1.0797981954794984,1.4057058543504337,1.2531557092840138,1.372275232535739,1.119618508821822,1.1343827135799132,1.293285739126741,1.2647887963604718,1.2328483096913254,1.2634152658187148,1.3288787516161145,1.3013021115220789,1.031717358532819,1.4327540954624682,83.5,98.6,89.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,30.8,40.0,24.8,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,45.7,64.1,41.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
